Currency,Date,ASIN,Ad Group Name,Campaign Name,Channel,Headline,Profile Name,Avg CPC,Avg Pos.,Clicks,Conv. Rate,Conversions,Cost,Cost/Conv.,CTR,Impressions,Profit,Rev.,Rev./Conv.,ROI,1 day,1 day same sku,14 days,14 days same sku,30 day,30 day same sku,7 days,7 days same sku,conversions,new to brand order rate,new to brand orders,new to brand percentage,new to brand units,new to brand units percentage,page views,uc conv,units 1 day,units 14 day,units 30 day,units 7 day
Currency by profile,2019-09-06,B07NMZP4W9,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,1.7000000476837158,0,1.0,0,0,1.7000000476837158,0,0.00026157468,3823.0,-1.7000000476837158,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-07,B07NMZP4W9,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.1520000457763673,0,5.0,0.2,1.0,10.760000228881836,10.760000228881836,0.001547508511,3231.0,-6.200000286102295,4.559999942779541,4.559999942779541,0.4237918072287448,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
Currency by profile,2019-09-08,B07NMZP4W9,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.069999933242798,0,1.0,0,0,2.069999933242798,0,0.000349895031,2858.0,-2.069999933242798,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-09,B07NMZP4W9,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.0799999237060547,0,3.0,0,0,6.239999771118164,0,0.000641436818,4677.0,-6.239999771118164,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-06,B07NN48K2V,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,"Kleenex Anti-Viral Facial Tissues, Cube Box, 68 Tissues per Cube Box",Kleenex - US - AMS_KCS_KX1_009,2.440000057220459,0,1.0,0,0,2.440000057220459,0,0.001567398119,638.0,-2.440000057220459,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-07,B07NN48K2V,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,"Kleenex Anti-Viral Facial Tissues, Cube Box, 68 Tissues per Cube Box",Kleenex - US - AMS_KCS_KX1_009,1.6699999570846558,0,1.0,0,0,1.6699999570846558,0,0.00163132137,613.0,-1.6699999570846558,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-08,B07NN48K2V,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,"Kleenex Anti-Viral Facial Tissues, Cube Box, 68 Tissues per Cube Box",Kleenex - US - AMS_KCS_KX1_009,0,0,0,0,0,0,0,0,782.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Currency by profile,2019-09-09,B07NN48K2V,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,"Kleenex Anti-Viral Facial Tissues, Cube Box, 68 Tissues per Cube Box",Kleenex - US - AMS_KCS_KX1_009,2.734999895095825,0,2.0,0.5,1.0,5.46999979019165,5.46999979019165,0.001824817518,1096.0,20.019999980926514,25.489999771118164,25.489999771118164,4.659963573824028,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Currency by profile,2019-09-06,B003M5ONYY,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.136951167409013,0,82.0,0.658536585366,54.0,175.22999572753906,3.244999920880353,0.009396126962,8727.0,165.0600128173828,340.2900085449219,6.30166682490596,1.9419620889224394,51.0,44.0,54.0,45.0,0.0,0.0,53.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,57.0,57.0,56.0
Currency by profile,2019-09-07,B003M5ONYY,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.0921839571547234,0,87.0,0.459770114943,40.0,182.02000427246094,4.550500106811524,0.010218463707,8514.0,62.78999328613281,244.80999755859375,6.120249938964844,1.3449620470953518,37.0,34.0,40.0,36.0,0.0,0.0,40.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,41.0,41.0,41.0
Currency by profile,2019-09-08,B003M5ONYY,AdGroup1,Secondary Facial Tissue_SP_NB_Exact & Phrase_Kleenex_4.17.19,Amazon,,Kleenex - US - AMS_KCS_KX1_009,2.3053011606974776,0,83.0,0.722891566265,60.0,191.33999633789062,3.1889999389648436,0.010343968096,8024.0,214.30001831054688,405.6400146484375,6.760666910807291,2.119995936093313,53.0,46.0,60.0,49.0,0.0,0.0,57.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,70.0,70.0,67.0
