date,time,position,keywords,asin,brand,ispromoted,accountid,ks,price,rate,reviews
2019-09-08,5,0,baby wipes,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,baby wipes compostable,null,Baby Magic,1,546,KS7246,null,null,null
2019-09-08,5,0,baby wipes sensitive,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,baby wipes unscented,null,The Honest Company,1,546,KS7246,null,null,null
2019-09-08,5,0,baby+wipes,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper huggies newborn,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper newborn,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper size 4,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diaper size 5,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers newborn,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers size 4,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers size 5,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,diapers size 6,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,honest company diapers size 1,null,The Honest Company,1,546,KS7246,null,null,null
2019-09-08,5,0,honest diapers newborn,null,The Honest Company,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies baby wipes,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies diapers 3,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies diapers size 1,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies natural care wipes,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies overnites size 5,null,Seventh Generation,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 1,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 2,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 3,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 4,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 5,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies size 6,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies wipes,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,huggies wipes unscented,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,natural baby wipes,null,The Honest Company,1,546,KS7246,null,null,null
2019-09-08,5,0,newborn diaper,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,newborn diapers,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,newborn diapers honest,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,newborn diapers supersize,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,pamper diapers size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,pampers diapers size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,pampers size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,sensitive baby wipes,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,size 1 diapers,null,Huggies,1,546,KS7246,null,null,null
2019-09-08,5,0,size 5 diapers,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,swaddlers size 1,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,swim diaper,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,swim diapers,null,Pampers,1,546,KS7246,null,null,null
2019-09-08,5,0,swimming diapers,null,Beau & Belle Littles™,1,546,KS7246,null,null,null
2019-09-08,5,0,wet wipes baby,null,WaterWipes,1,546,KS7246,null,null,null
2019-09-08,5,0,wipes baby,null,Huggies Wipes,1,546,KS7246,null,null,null
2019-09-08,5,1,baby wipes,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,1,baby wipes compostable,B07H5LVS3B,Amazon Elements,1,546,KS7246,12.49,4.5,13457
2019-09-08,5,1,baby wipes sensitive,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,1,baby wipes unscented,B07MHTN4HW,Huggies,1,546,KS7246,8.98,4.7,557
2019-09-08,5,1,baby+wipes,B07H53Y3LL,Amazon Elements,1,546,KS7246,12.49,4.5,13457
2019-09-08,5,1,diaper,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,diaper huggies newborn,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,1,diaper newborn,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,diaper size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,diaper size 4,B07DC8BR3B,Pampers,1,546,KS7246,49.5,3.9,1009
2019-09-08,5,1,diaper size 5,B010OW6FOI,Pampers,1,546,KS7246,49.22,3.8,136
2019-09-08,5,1,diapers,B07QCQKPWQ,Huggies,1,546,KS7246,37.32,3.7,292
2019-09-08,5,1,diapers newborn,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,diapers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,diapers size 4,B07DC8BR3B,Pampers,1,546,KS7246,49.5,3.9,1009
2019-09-08,5,1,diapers size 5,B010OW6FOI,Pampers,1,546,KS7246,49.22,3.8,136
2019-09-08,5,1,diapers size 6,B07MYWMKNK,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,honest company diapers size 1,B07G4T8ZG7,The Honest Company,1,546,KS7246,25.99,4.1,552
2019-09-08,5,1,honest diapers newborn,B07G8FFZV2,The Honest Company,1,546,KS7246,40.54,4,459
2019-09-08,5,1,huggies,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,1,huggies baby wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies diapers 3,B07MYVX56H,Huggies,1,546,KS7246,46,4.3,587
2019-09-08,5,1,huggies diapers size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,1,huggies natural care wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies overnites size 5,B07MRQ9PKY,Huggies,1,546,KS7246,46.99,4.5,651
2019-09-08,5,1,huggies size 1,B07MP6VXRN,Huggies,1,546,KS7246,39.76,4.5,651
2019-09-08,5,1,huggies size 2,B07M6FLDVZ,Huggies,1,546,KS7246,46.7,4.5,651
2019-09-08,5,1,huggies size 3,B07MKYKPCK,Huggies,1,546,KS7246,45.6,4.5,651
2019-09-08,5,1,huggies size 4,B07MYVXJDD,Huggies,1,546,KS7246,46.17,4.3,587
2019-09-08,5,1,huggies size 5,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,huggies size 6,B07MYWMKNK,Huggies,1,546,KS7246,46.7,4.3,587
2019-09-08,5,1,huggies wipes,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,huggies wipes unscented,B07M6XVCBY,Huggies,1,546,KS7246,13.98,4.6,641
2019-09-08,5,1,natural baby wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,1,newborn diaper,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,newborn diapers,B07DCB7H79,Pampers,1,546,KS7246,27.39,3.9,1009
2019-09-08,5,1,newborn diapers honest,B07G8VKJGX,The Honest Company,1,546,KS7246,43.96,4,459
2019-09-08,5,1,newborn diapers supersize,B07MYVXSDH,Huggies,1,546,KS7246,24.27,4.5,651
2019-09-08,5,1,pamper diapers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,pampers diapers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,pampers size 1,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,sensitive baby wipes,B07MVS998P,Huggies,1,546,KS7246,12.99,4.6,641
2019-09-08,5,1,size 1 diapers,B07DCCP3Y1,Pampers,1,546,KS7246,48.28,4,234
2019-09-08,5,1,size 5 diapers,B07MYW25CJ,Huggies,1,546,KS7246,46.7,4.3,587
